
|Die Microsoft-Story-Computerpionier Bill Gates|Rechnen, schreiben, kommunizieren, spielen: Ganz gleich, wozu wir den Computer einschalten, hinter allem, was wir auf dem Bildschirm sehen, steckt Bill Gates. Knapp neun von zehn Computern arbeiten mit seiner Software. Mit revolutionaeren Ideen legt e er einst das Fundament fuer eines der bedeutendsten Unternehmen der Welt: Microsoft. "Die Microsoft-Story" erzaehlt die Geschichte von Bill Gates, der fuer die einen ein visionaeres Genie, fuer die anderen ein durchtriebener Geschaeftsmann ist.|2013|/mnt/Aufnahmen/2013/20131204 2055 - PHOENIX HD - Die Microsoft-Story.eit
|Planet der Meere Teil 1-Die Vielfalt unserer Ozeane|Yann Arthus-Bertrand zeigt mit spektakulaeren Luft- und Unterwasseraufnahmen, welche Bedeutung die Weltmeere fuer die Entwicklung unseres blauen Planeten hatten und haben. Gedreht in ueber 20 Laendern, soll die Dokumentation dem Publikum die Schoenheit der Erdoberflaeche naeherbringen, aber auch die Bedeutung des marinen OEkosystems fuer uns Menschen. Ein Plaedoyer fuer den Erhalt und Schutz unserer Ozeane - der Lebensgrundlage unserer Welt. Dokumentation, Frankreich, 2012|2013|/mnt/Aufnahmen/2013/20131211 2114 - ServusTV HD Oesterreich - Planet der Meere Teil 1.eit
|Die Gesch-hte vom kleinen MuckP o  deu MonoP o  mis ohne AudiodeskriptionP o  deu Dolby Digital 2.0P o  deu HDTVN|Es war einmal ein kleiner, aufgeweckter buckliger Junge im fernen Morgenland. Alle verspotteten und verhoehnten ihn wegen seines Buckels. Als schliesslich auch noch sein Vater ploetzlich stirbt, beschliesst der kleine Muck davonzulaufen, um den Kaufman n zu suchen, bei dem man das Glueck kaufen kann. Nach einem langen Marsch durch die Wueste, findet er bei Frau Ahavzi zunaechst Unterschlupf und hilft ihr bei der Pflege ihrer vielen Katzen. ?Schliesslich entdeckt er ein Zauberstoeckchen und Zauberpanto ffeln. Mit den Zauberpantoffeln kann der kleine bucklige Muck so schnell rennen wie der Wind ...|2013|/mnt/Aufnahmen/2013/20131222 1155 - KiKA HD - Die Geschichte vom kleinen Muck.eit
|Der kleine Lord-Spielfilm Grossbritannien 1980 (Little Lord Fauntleroy)|Der achtjaehrige Ceddie Errol lebt zu Beginn des 20. Jahrhunderts mit seiner verwitweten Mutter in bescheidenen Verhaeltnissen in New York. Eines Tages taucht Mr. Havisham, ein Abgesandter des Earl of Dorincourt, bei Mrs. Errol auf. Der Earl ist Cedd ies Grossvater. Sein Enkel kennt ihn aber nicht, denn der adelsstolze alte Herr hatte sich seinerzeit von seinem Sohn Cedric - Ceddies Vater - losgesagt, als dieser eine Amerikanerin heiratete. Da inzwischen alle seine Soehne tot sind, wuenscht der Ea rl, dass Ceddie nach England kommt, damit er als Erbfolger auf Schloss Dorincourt eine standesgemaesse Erziehung erhaelt.?Produziert in HD|2013|/mnt/Aufnahmen/2013/20131222 1410 - Das Erste HD - Der kleine Lord.eit
|Zurueck zur Natur-y geru M|Maggie Entenfellner und ihr Team zeigen ihre Reise waehrend des vergangenen Jahres zu den schoensten Plaetzen des Landes und aussergewoehnlichen Menschen, die im Einklang mit der Natur leben. Zu sehen sind u.a. winterliche Bilder aus dem Osttiroler Vill graten, Fruehlingserwachen im Wald- und Muehlviertel und rund um Zell am See, der Sommer bei den Stoerchen in Rust und den Moenchen in Kremsmuenster, die schoensten Herbstimpressionen in der Wachau und den Leiser Bergen. Kraeuter & Kochrezepte, Trachten & Tiere - Natur und altes Handwerk, liebevoll gepflegt und genuetzt im Jahreskreis ist in der letzten Ausgabe von "Zurueck zur Natur" vor Weihnachten zu sehen.?Ab Jaenner wird sich Maggie Entenfellner u.a. aus den Donauauen, dem oberoesterreichischen K laffer, dem Grossglockner und Mariazell melden.?|2013|/mnt/Aufnahmen/2013/20131222 1708 - ORF2 HD - ZurA 1/4 ck zur Natur.eit
|Dragon Pearl - Das Geheimnis der Drachenperle|Josh hat keine Erwartungen, als er seinen Vater Chris, einen beruehmtern Archaeologen, bei einer Ausgrabungsstaette in China besucht. Einzig die 12jaehrige Ling, die Tochter von Chris? Kollegin, bietet ihm etwas Abwechslung. Zufaellig treffen die beiden in einem Tempel auf einen geheimnisvollen Mann, der ihnen das Geheimnis der verschwundenen Perle des Drachens anvertraut. Josh und Ling finden sich auf der Suche nach der Perle schnell in einem atemberaubenden Abenteuer wieder&|2013|/mnt/Aufnahmen/2013/20131224 0643 - ATV HD - Dragon Pearl - Das Geheimnis der Drachenperle.eit
|Das kalte Herz-Ein Spiel der Augsburger Puppenkiste Puppenspiel|Der Koehler Peter Munk lebt in einem abgelegenen Teil des Schwarzwaldes und ist mit seinem Leben sehr unzufrieden. Denn die Handwerker der anderen Berufsstaende, die Glasblaeser, Uhrmacher und Floesser seiner Heimat, sind alle angesehener und reicher al s er. Da beschliesst Peter, sich Hilfe bei einem listigen Waldgeist zu suchen. Mit dessen Hilfe tauscht er sein Herz gegen eines aus Stein und erlangt Reichtum. Bald muss er jedoch feststellen, dass nun Langeweile und UEberdruss sein Leben bestimmen. Der Koehler sucht Hilfe bei einem guten Geist - dem Glasmaennlein.|2013|/mnt/Aufnahmen/2013/20131224 1255 - BR SA 1/4 d HD - Das kalte Herz.eit
|Das tapfere Schneiderlein|Ein armer Schneider fertigt sich einen Guertel an, auf den er mit grossen Buchstaben "Sieben auf einen Streich" stickt und wandert in die Welt hinaus. Der Guertel macht grossen Eindruck auf alle, denen er begegnet, und niemand ahnt, dass es nur Fliegen waren, die das tapfere Schneiderlein mit einem Schlag erledigt hat. Als der Koenig von den vermeintlichen Heldentaten des Schneiders hoert, verspricht er ihm seine Tochter und das halbe Koenigreich, falls es ihm gelingt, zwei Riesen, das wilde Einhor n und ein gefaehrliches Wildschwein zu besiegen.|2013|/mnt/Aufnahmen/2013/20131224 1340 - BR SA 1/4 d HD - Das tapfere Schneiderlein.eit
|Michel in der Suppenschuessel|Der kleine blonde Michel, der mit seiner Familie auf dem Kattult-Hof in Loenneberga lebt, isst am liebsten Fleischsuppe. Um auch den letzten Rest aus der Schuessel schluerfen zu koennen, steckt er seinen Kopf ganz tief hinein und bekommt ihn nicht wied er heraus. ?Die Mutter will die Schuessel zerschlagen, aber der sparsame Vater beschliesst, eher drei Kronen fuer den Arzt auszugeben, als vier fuer eine neue Schuessel. ?Schweden, 1971?HD-Produktion|2013|/mnt/Aufnahmen/2013/20131224 1350 - ZDF HD - Michel in der SuppenschA 1/4 ssel.eit
|Wie?s der Brauch ist-Eine Bergweihnacht in Osttirol|Weihnachtsbrauchtum aus dem Dorf Praegraten in Osttirol: Nikolausabend auf einem Bergbauernhof, Frauentragen, Krippenspiel, Bescherung bei einer Bergbauernfamilie. Altes Handwerk und Heuziehen in der Winterlandschaft am Fusse des Grossvenedigers. Hoch ueber dem alten Pfarrdorf Praegraten im Virgental am Fusse des Grossvenedigers liegt der Hof vom Berger Adolf - der Oberbichler-Hof. Drei Generationen leben hier unter einem Dach. Der alte Bauer mit seiner Frau und seiner Schwester und die junge Famil ie mit ihren fuenf Kindern.|2013|/mnt/Aufnahmen/2013/20131224 1755 - BR SA 1/4 d HD - WieA?s der Brauch ist.eit
|Robin Hood, Koenig der Vagabunden|England um 1190: Waehrend Koenig Richard Loewenherz im Heiligen Land weilt, reisst sein Bruder John die Macht an sich. Robin Hood bietet dem Tyrannen die Stirn und erobert Lady Marian.|2013|/mnt/Aufnahmen/2013/20131225 0535 - RTL Austria - Robin Hood, KA?nig der Vagabunden.eit
|Drei Haselnuesse fuer Aschenbroedel|Der Koenig findet es an der Zeit, dass sein Sohn heiratet. Viele junge Damen von nah und fern werden zu einem Ball eingeladen. Zu den geladenen Gaesten gehoeren auch Aschenbroedels Stiefmutter und deren Tochter Dora. Sie hofft, den Prinzen fuer sich zu gewinnen, Aschenbroedel soll zu Hause bleiben und Erbsen aus der Asche lesen. - Der Ball auf des Koenigs Schloss ist in vollem Gange: Der Prinz langweilt sich bis zu dem Augenblick, als ploetzlich eine junge Dame mit einer kostbaren Robe bekleidet den Saal betritt. Alle Augen sind auf sie gerichtet. Der Prinz fordert die Unbekannte zum Tanz auf. Aschenbroedel gibt sich nicht zu erkennen ...|2013|/mnt/Aufnahmen/2013/20131225 1020 - NDR FS MV HD - Drei HaselnA 1/4 sse fA 1/4 r AschenbrA?del.eit
